pl_name,pl_rade,pl_masse,pl_radj,pl_massj,pl_dens,st_dist,pl_disc,pl_telescope,pl_eqt,pl_discmethod,pl_facility,pl_mnum,pl_pelink,pl_edelink,pl_cbflag,pl_orbper,pl_pnum,ra,dec,st_spstr,st_age,pl_ratdor,st_rad,rowupdate
BD-13 2130 b,,,,,,766.00,2007,1.2 m Leonhard Euler Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/ngc_2423_3_b/,http://exoplanets.org/detail/NGC_2423_3_b,0,714.30000000,1,114.288458,-13.906639,G5 IV/V,0.740,,,2015-05-14
BD-17 63 b,,,,,,37.54,2008,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/bd-17_63_b/,http://exoplanets.org/detail/HIP_2247_b,0,655.60000000,1,7.142942,-16.226345,K5 V,4.300,,0.69,2014-05-14
CFBDSIR J145829+101343 b,,3337.10000,,10.50000,,23.10,2011,10 m Keck II Telescope,370,Imaging,W. M. Keck Observatory,0,http://exoplanet.eu/catalog/cfbds_1458_b/,,0,10037.50000000,1,224.620833,10.228611,,27.500,,,2014-05-14
CHXR 73 b,,3994.48600,,12.56900,,,2006,2.4 m Hubble Space Telescope,,Imaging,Hubble Space Telescope,0,http://exoplanet.eu/catalog/chxr_73_b/,,0,,1,166.619893,-77.625877,M3.5,0.002,,,2014-05-14
CT Cha b,24.660,5403.00000,2.200,17.00000,,165.00,2007,8.2 m ESO VLT UT4 Yepun Telescope,2600,Imaging,Paranal Observatory,0,http://exoplanet.eu/catalog/ct_cha_b/,,0,,1,166.037877,-76.455383,,0.002,,,2014-05-14
CoRoT-1 b,16.700,327.35000,1.490,1.03000,0.38000,,2008,0.27 m CoRoT Telescope,1898,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-1_b/,http://exoplanets.org/detail/CoRoT-1_b,0,1.50895570,1,102.079885,-3.102147,G0 V,,4.920000,1.11,2014-05-14
CoRoT-10 b,10.870,874.00000,0.970,2.75000,3.70000,345.00,2010,0.27 m CoRoT Telescope,600,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-10_b/,http://exoplanets.org/detail/CoRoT-10_b,0,13.24060000,1,291.063708,0.746143,K1 V,3.000,31.330000,0.79,2014-05-14
CoRoT-11 b,16.030,740.51000,1.430,2.33000,0.99000,560.00,2010,0.27 m CoRoT Telescope,1657,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-11_b/,http://exoplanets.org/detail/CoRoT-11_b,0,2.99433000,1,280.687263,5.937688,F6 V,2.000,6.890000,1.37,2014-05-14
CoRoT-12 b,16.140,291.43800,1.440,0.91700,0.41100,1150.00,2010,0.27 m CoRoT Telescope,1442,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-12_b/,http://exoplanets.org/detail/CoRoT-12_b,0,2.82804200,1,100.765677,-1.296439,,6.300,,1.12,2014-05-14
CoRoT-13 b,9.920,415.70400,0.885,1.30800,2.34000,1060.00,2010,0.27 m CoRoT Telescope,1700,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-13_b/,http://exoplanets.org/detail/CoRoT-13_b,0,4.03519000,1,102.721137,-5.086445,G0 V,1.635,10.810000,1.01,2014-05-14
CoRoT-14 b,12.220,2415.40000,1.090,7.60000,7.30000,1340.00,2010,0.27 m CoRoT Telescope,1952,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-14_b/,http://exoplanets.org/detail/CoRoT-14_b,0,1.51214000,1,103.424211,-5.536037,F9 V,4.200,4.780000,1.21,2014-05-14
CoRoT-16 b,13.110,170.03200,1.170,0.53500,0.44000,840.00,2011,0.27 m CoRoT Telescope,,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-16_b/,http://exoplanets.org/detail/CoRoT-16_b,0,5.35227000,1,278.524691,-6.002595,G5 V,6.730,11.200000,1.19,2014-05-14
CoRoT-17 b,11.430,772.29000,1.020,2.43000,2.82000,920.00,2011,0.27 m CoRoT Telescope,1626,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-17_b/,http://exoplanets.org/detail/CoRoT-17_b,0,3.76810000,1,278.699254,-6.612234,G2 V,10.700,6.230000,1.59,2014-05-14
CoRoT-18 b,14.680,1102.82000,1.310,3.47000,2.20000,870.00,2011,0.27 m CoRoT Telescope,1550,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-18_b/,http://exoplanets.org/detail/CoRoT-18_b,0,1.90006930,1,98.172410,-0.031586,G9 V,,6.350000,1.00,2014-05-14
CoRoT-19 b,14.460,352.78000,1.290,1.11000,0.71000,770.00,2011,0.27 m CoRoT Telescope,2000,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-19_b/,http://exoplanets.org/detail/CoRoT-19_b,0,3.89713000,1,97.033582,-0.170681,F9 V,5.000,6.700000,1.65,2014-05-14
CoRoT-2 b,16.432,1102.82000,1.466,3.47000,1.47000,200.00,2008,0.27 m CoRoT Telescope,,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-2_b/,http://exoplanets.org/detail/CoRoT-2_b,0,1.74299350,1,291.777056,1.383714,,2.700,,0.91,2014-05-14
CoRoT-20 b,9.420,1347.54000,0.840,4.24000,8.87000,1230.00,2011,0.27 m CoRoT Telescope,1002,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-20_b/,,0,9.24285000,1,97.720408,0.226919,G2 V,0.100,18.950000,1.02,2014-05-14
CoRoT-22 b,4.880,12.20000,0.435,0.03800,0.24900,592.00,2014,0.27 m CoRoT Telescope,885,Transit,CoRoT,0,,,0,9.75598000,1,280.667115,6.219136,G3 V,3.300,17.300000,1.14,2014-08-21
