pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
HAT-P-44 b,13.922,111.87100,1.242,0.35200,363.00,2014,Canon 200mm f/1.8L,1108
HAT-P-44 c,,,,,363.00,2014,Canon 200mm f/1.8L,
HAT-P-45 b,15.984,283.49200,1.426,0.89200,305.00,2014,Canon 200mm f/1.8L,1652
HAT-P-46 b,14.392,156.68400,1.284,0.49300,296.00,2014,Canon 200mm f/1.8L,1458
HAT-P-49 b,15.838,549.82300,1.413,1.73000,322.00,2014,Canon 200mm f/1.8L,2131
HAT-P-5 b,14.120,336.89000,1.260,1.06000,342.00,2007,Canon 200mm f/1.8L,
HAT-P-50 b,14.437,429.07050,1.288,1.35000,497.00,2015,multiple telescopes,1862
HAT-P-51 b,14.493,98.20947,1.293,0.30900,470.00,2015,multiple telescopes,1192
HAT-P-52 b,11.310,259.98494,1.009,0.81800,385.00,2015,multiple telescopes,1218
HAT-P-53 b,14.773,471.65972,1.318,1.48400,719.00,2015,multiple telescopes,1778
HAT-P-54 b,10.581,241.55080,0.944,0.76000,135.80,2015,Canon 200mm f/1.8L,818
HAT-P-55 b,13.249,184.97706,1.182,0.58200,480.00,2015,Canon 200mm f/1.8L,1313
HAT-P-56 b,16.432,692.86940,1.466,2.18000,310.50,2015,Canon 200mm f/1.8L,1840
HAT-P-57 b,15.838,587.98550,1.413,1.85000,303.00,2015,Multiple Telescopes,2200
HAT-P-6 b,14.908,335.93200,1.330,1.05700,261.00,2007,Canon 200mm f/1.8L,
HAT-P-7 b,15.906,566.05523,1.419,1.78100,320.00,2008,Canon 200mm f/1.8L,2200
HAT-P-8 b,16.810,483.08000,1.500,1.52000,230.00,2008,Canon 200mm f/1.8L,1700
HAT-P-9 b,15.690,247.90000,1.400,0.78000,480.00,2008,Canon 200mm f/1.8L,1530
HATS-1 b,14.594,589.55000,1.302,1.85500,303.00,2012,0.18 m Takahashi Epsilon Astrograph,1359
HATS-10 b,10.862,167.17858,0.969,0.52600,496.00,2015,0.18 m Takahashi Epsilon Astrograph,1407
HATS-13 b,13.585,172.58169,1.212,0.54300,476.00,2015,0.18 m Takahashi Epsilon Astrograph,1244
HATS-14 b,11.646,340.39593,1.039,1.07100,513.00,2015,0.18 m Takahashi Epsilon Astrograph,1276
HATS-2 b,13.092,427.46300,1.168,1.34500,360.00,2013,0.18 m Takahashi Epsilon Astrograph,1577
HATS-3 b,15.480,340.38200,1.381,1.07100,453.00,2013,0.18 m Takahashi Epsilon Astrograph,1648
HATS-4 b,11.433,420.47100,1.020,1.32300,420.00,2014,0.18 m Takahashi Epsilon Astrograph,1315
HATS-5 b,10.223,75.32300,0.912,0.23700,257.00,2014,0.18 m Takahashi Epsilon Astrograph,1025
HATS-6 b,11.187,101.38777,0.998,0.31900,148.40,2015,0.18 m Takahashi Epsilon Astrograph,713
HATS-8 b,9.785,43.86054,0.873,0.13800,829.00,2015,0.18 m Takahashi Epsilon Astrograph,1324
HATS-9 b,11.938,266.02371,1.065,0.83700,622.00,2015,0.18 m Takahashi Epsilon Astrograph,1823
HD 100546 b,77.342,,6.900,,97.00,2014,8.2 m ESO VLT UT4 Yepun Telescope,
HD 100655 b,,,,,140.85,2011,1.8 m Telescope,
