pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
Kepler-210,Kepler-210 c,3.620,0.323,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,7.97251300,,13.822,4559.00,,0.65,,,,292.503389,43.083149,http://exoplanet.eu/catalog/kepler-210_c/,http://exoplanets.org/detail/Kepler-210_c,2014-05-14
Kepler-211,Kepler-211 b,1.260,0.112,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,4.13857500,,13.283,5123.00,0.97,0.82,,,,285.439151,43.168484,http://exoplanet.eu/catalog/kepler-211_b/,http://exoplanets.org/detail/Kepler-211_b,2014-05-14
Kepler-211,Kepler-211 c,1.290,0.115,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,6.04045000,,13.283,5123.00,0.97,0.82,,,,285.439151,43.168484,http://exoplanet.eu/catalog/kepler-211_c/,http://exoplanets.org/detail/Kepler-211_c,2014-05-14
Kepler-212,Kepler-212 b,1.090,0.097,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,16.25758200,,13.178,5852.00,1.16,1.46,,,,287.620834,43.141678,http://exoplanet.eu/catalog/kepler-212_b/,http://exoplanets.org/detail/Kepler-212_b,2014-05-14
Kepler-212,Kepler-212 c,2.740,0.244,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,31.80517400,,13.178,5852.00,1.16,1.46,,,,287.620834,43.141678,http://exoplanet.eu/catalog/kepler-212_c/,http://exoplanets.org/detail/Kepler-212_c,2014-05-14
Kepler-213,Kepler-213 b,1.620,0.145,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,2.46236000,,13.648,5696.00,0.94,1.20,,,,290.824182,44.647186,http://exoplanet.eu/catalog/kepler-213_b/,http://exoplanets.org/detail/Kepler-213_b,2014-05-14
Kepler-213,Kepler-213 c,2.340,0.209,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,4.82296200,,13.648,5696.00,0.94,1.20,,,,290.824182,44.647186,http://exoplanet.eu/catalog/kepler-213_c/,http://exoplanets.org/detail/Kepler-213_c,2014-05-14
Kepler-214,Kepler-214 b,2.610,0.233,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,15.66054400,,13.949,6169.00,,1.35,,,,284.754851,44.956032,http://exoplanet.eu/catalog/kepler-214_b/,http://exoplanets.org/detail/Kepler-214_b,2014-05-14
Kepler-214,Kepler-214 c,2.130,0.190,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,28.77980000,,13.949,6169.00,,1.35,,,,284.754851,44.956032,http://exoplanet.eu/catalog/kepler-214_c/,http://exoplanets.org/detail/Kepler-214_c,2014-05-14
Kepler-215,Kepler-215 b,1.620,0.145,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,9.36067200,,13.580,5739.00,0.77,1.03,,,,294.973509,45.213688,http://exoplanet.eu/catalog/kepler-215_b/,http://exoplanets.org/detail/Kepler-215_b,2014-05-14
Kepler-215,Kepler-215 c,1.770,0.158,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,14.66710800,,13.580,5739.00,0.77,1.03,,,,294.973509,45.213688,http://exoplanet.eu/catalog/kepler-215_c/,http://exoplanets.org/detail/Kepler-215_c,2014-05-14
Kepler-215,Kepler-215 d,2.390,0.213,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,30.86442300,,13.580,5739.00,0.77,1.03,,,,294.973509,45.213688,http://exoplanet.eu/catalog/kepler-215_d/,http://exoplanets.org/detail/Kepler-215_d,2014-05-14
Kepler-215,Kepler-215 e,1.750,0.156,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,68.16101000,,13.580,5739.00,0.77,1.03,,,,294.973509,45.213688,http://exoplanet.eu/catalog/kepler-215_e/,http://exoplanets.org/detail/Kepler-215_e,2014-05-14
Kepler-216,Kepler-216 b,2.350,0.210,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,7.69364100,,13.998,6091.00,,1.26,,,,293.728072,46.129154,http://exoplanet.eu/catalog/kepler-216_b/,http://exoplanets.org/detail/Kepler-216_b,2014-05-14
Kepler-216,Kepler-216 c,3.040,0.271,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,17.40666900,,13.998,6091.00,,1.26,,,,293.728072,46.129154,http://exoplanet.eu/catalog/kepler-216_c/,http://exoplanets.org/detail/Kepler-216_c,2014-05-14
Kepler-217,Kepler-217 b,2.230,0.199,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,5.37494300,,13.294,6171.00,,1.80,,,,293.037744,46.277508,http://exoplanet.eu/catalog/kepler-217_b/,http://exoplanets.org/detail/Kepler-217_b,2014-05-14
Kepler-217,Kepler-217 c,1.850,0.165,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,8.58600400,,13.294,6171.00,,1.80,,,,293.037744,46.277508,http://exoplanet.eu/catalog/kepler-217_c/,http://exoplanets.org/detail/Kepler-217_c,2014-05-14
Kepler-218,Kepler-218 b,1.480,0.132,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,3.61933700,,13.967,5502.00,,1.06,,,,295.412811,46.266472,http://exoplanet.eu/catalog/kepler-218_b/,http://exoplanets.org/detail/Kepler-218_b,2014-05-14
Kepler-218,Kepler-218 c,3.140,0.280,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,44.69957600,,13.967,5502.00,,1.06,,,,295.412811,46.266472,http://exoplanet.eu/catalog/kepler-218_c/,http://exoplanets.org/detail/Kepler-218_c,2014-05-14
Kepler-219,Kepler-219 b,2.950,0.263,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,4.58551200,,13.764,5786.00,,1.49,,,,288.738980,46.762558,http://exoplanet.eu/catalog/kepler-219_b/,http://exoplanets.org/detail/Kepler-219_b,2014-05-14
Kepler-219,Kepler-219 c,3.580,0.319,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,22.71461300,,13.764,5786.00,,1.49,,,,288.738980,46.762558,http://exoplanet.eu/catalog/kepler-219_c/,http://exoplanets.org/detail/Kepler-219_c,2014-05-14
Kepler-219,Kepler-219 d,2.810,0.251,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,47.90364500,,13.764,5786.00,,1.49,,,,288.738980,46.762558,http://exoplanet.eu/catalog/kepler-219_d/,http://exoplanets.org/detail/Kepler-219_d,2014-05-14
Kepler-22,Kepler-22 b,2.380,0.212,0.11300,36.00000,14.70000,262,0.95 m Kepler Telescope,Kepler,2011,Transit,1,289.86230000,190.00,11.664,5518.00,0.97,0.98,,,,289.217484,47.884464,http://exoplanet.eu/catalog/kepler-22_b/,http://exoplanets.org/detail/Kepler-22_b,2014-05-14
Kepler-220,Kepler-220 b,0.810,0.072,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,4.15980700,,13.177,4632.00,,0.67,,,,291.506237,46.895779,http://exoplanet.eu/catalog/kepler-220_b/,http://exoplanets.org/detail/Kepler-220_b,2014-05-14
Kepler-220,Kepler-220 c,1.570,0.140,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,9.03419900,,13.177,4632.00,,0.67,,,,291.506237,46.895779,http://exoplanet.eu/catalog/kepler-220_c/,http://exoplanets.org/detail/Kepler-220_c,2014-05-14
Kepler-220,Kepler-220 d,0.980,0.087,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,28.12239700,,13.177,4632.00,,0.67,,,,291.506237,46.895779,http://exoplanet.eu/catalog/kepler-220_d/,http://exoplanets.org/detail/Kepler-220_d,2014-05-14
Kepler-220,Kepler-220 e,1.330,0.119,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,45.90273300,,13.177,4632.00,,0.67,,,,291.506237,46.895779,http://exoplanet.eu/catalog/kepler-220_e/,http://exoplanets.org/detail/Kepler-220_e,2014-05-14
Kepler-221,Kepler-221 b,1.710,0.153,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,2.79590600,,13.749,5243.00,0.72,0.82,,,,296.654765,46.835270,http://exoplanet.eu/catalog/kepler-221_b/,http://exoplanets.org/detail/Kepler-221_b,2014-05-14
Kepler-221,Kepler-221 c,2.930,0.261,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,5.69058600,,13.749,5243.00,0.72,0.82,,,,296.654765,46.835270,http://exoplanet.eu/catalog/kepler-221_c/,http://exoplanets.org/detail/Kepler-221_c,2014-05-14
Kepler-221,Kepler-221 d,2.730,0.244,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,10.04156000,,13.749,5243.00,0.72,0.82,,,,296.654765,46.835270,http://exoplanet.eu/catalog/kepler-221_d/,http://exoplanets.org/detail/Kepler-221_d,2014-05-14
Kepler-221,Kepler-221 e,2.630,0.235,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,18.36991700,,13.749,5243.00,0.72,0.82,,,,296.654765,46.835270,http://exoplanet.eu/catalog/kepler-221_e/,http://exoplanets.org/detail/Kepler-221_e,2014-05-14
Kepler-222,Kepler-222 b,3.160,0.282,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,3.93698100,,15.063,5433.00,,0.87,,,,287.906100,46.937767,http://exoplanet.eu/catalog/kepler-222_b/,http://exoplanets.org/detail/Kepler-222_b,2014-05-14
Kepler-222,Kepler-222 c,4.640,0.414,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,10.08881000,,15.063,5433.00,,0.87,,,,287.906100,46.937767,http://exoplanet.eu/catalog/kepler-222_c/,http://exoplanets.org/detail/Kepler-222_c,2014-05-14
Kepler-222,Kepler-222 d,3.690,0.329,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,28.08191200,,15.063,5433.00,,0.87,,,,287.906100,46.937767,http://exoplanet.eu/catalog/kepler-222_d/,http://exoplanets.org/detail/Kepler-222_d,2014-05-14
Kepler-223,Kepler-223 b,1.690,0.151,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,7.38410800,,15.344,5829.00,,1.02,,,,298.318356,47.279495,http://exoplanet.eu/catalog/kepler-223_b/,http://exoplanets.org/detail/Kepler-223_b,2014-05-14
Kepler-223,Kepler-223 c,2.000,0.178,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,9.84818300,,15.344,5829.00,,1.02,,,,298.318356,47.279495,http://exoplanet.eu/catalog/kepler-223_c/,http://exoplanets.org/detail/Kepler-223_c,2014-05-14
Kepler-223,Kepler-223 d,2.980,0.266,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,14.78875900,,15.344,5829.00,,1.02,,,,298.318356,47.279495,http://exoplanet.eu/catalog/kepler-223_d/,http://exoplanets.org/detail/Kepler-223_d,2014-05-14
Kepler-223,Kepler-223 e,2.400,0.214,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,19.72173400,,15.344,5829.00,,1.02,,,,298.318356,47.279495,http://exoplanet.eu/catalog/kepler-223_e/,http://exoplanets.org/detail/Kepler-223_e,2014-05-14
Kepler-224,Kepler-224 b,1.390,0.124,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,3.13292400,,15.644,5018.00,0.74,0.68,,,,290.934287,47.357601,http://exoplanet.eu/catalog/kepler-224_b/,http://exoplanets.org/detail/Kepler-224_b,2014-05-14
Kepler-224,Kepler-224 c,3.120,0.278,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,5.92500300,,15.644,5018.00,0.74,0.68,,,,290.934287,47.357601,http://exoplanet.eu/catalog/kepler-224_c/,http://exoplanets.org/detail/Kepler-224_c,2014-05-14
Kepler-224,Kepler-224 d,2.300,0.205,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,11.34939300,,15.644,5018.00,0.74,0.68,,,,290.934287,47.357601,http://exoplanet.eu/catalog/kepler-224_d/,http://exoplanets.org/detail/Kepler-224_d,2014-05-14
Kepler-224,Kepler-224 e,1.970,0.176,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,18.64357700,,15.644,5018.00,0.74,0.68,,,,290.934287,47.357601,http://exoplanet.eu/catalog/kepler-224_e/,http://exoplanets.org/detail/Kepler-224_e,2014-05-14
Kepler-225,Kepler-225 b,1.200,0.107,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,6.73897500,,15.962,3682.00,,0.48,,,,292.193984,47.457096,http://exoplanet.eu/catalog/kepler-225_b/,http://exoplanets.org/detail/Kepler-225_b,2014-05-14
Kepler-225,Kepler-225 c,1.840,0.164,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,18.79423400,,15.962,3682.00,,0.48,,,,292.193984,47.457096,http://exoplanet.eu/catalog/kepler-225_c/,http://exoplanets.org/detail/Kepler-225_c,2014-05-14
Kepler-226,Kepler-226 b,1.550,0.138,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,3.94099700,,15.416,5571.00,0.86,0.80,,,,292.376129,47.880989,http://exoplanet.eu/catalog/kepler-226_b/,http://exoplanets.org/detail/Kepler-226_b,2014-05-14
Kepler-226,Kepler-226 c,2.270,0.203,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,5.34955500,,15.416,5571.00,0.86,0.80,,,,292.376129,47.880989,http://exoplanet.eu/catalog/kepler-226_c/,http://exoplanets.org/detail/Kepler-226_c,2014-05-14
Kepler-226,Kepler-226 d,1.220,0.109,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,8.10904400,,15.416,5571.00,0.86,0.80,,,,292.376129,47.880989,http://exoplanet.eu/catalog/kepler-226_d/,http://exoplanets.org/detail/Kepler-226_d,2014-05-14
Kepler-227,Kepler-227 b,3.110,0.277,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,9.48801500,,15.347,5854.00,,1.09,,,,291.934236,48.141651,http://exoplanet.eu/catalog/kepler-227_b/,http://exoplanets.org/detail/Kepler-227_b,2014-05-14
Kepler-227,Kepler-227 c,3.040,0.271,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,54.41869400,,15.347,5854.00,,1.09,,,,291.934236,48.141651,http://exoplanet.eu/catalog/kepler-227_c/,http://exoplanets.org/detail/Kepler-227_c,2014-05-14
Kepler-228,Kepler-228 b,1.530,0.136,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,2.56654600,,15.714,6043.00,,1.01,,,,296.286142,48.224667,http://exoplanet.eu/catalog/kepler-228_b/,http://exoplanets.org/detail/Kepler-228_b,2014-05-14
Kepler-228,Kepler-228 c,2.700,0.241,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,4.13444400,,15.714,6043.00,,1.01,,,,296.286142,48.224667,http://exoplanet.eu/catalog/kepler-228_c/,http://exoplanets.org/detail/Kepler-228_c,2014-05-14
Kepler-228,Kepler-228 d,4.040,0.360,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,11.09428600,,15.714,6043.00,,1.01,,,,296.286142,48.224667,http://exoplanet.eu/catalog/kepler-228_d/,http://exoplanets.org/detail/Kepler-228_d,2014-05-14
Kepler-229,Kepler-229 b,2.200,0.196,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,6.25297200,,15.841,5120.00,,0.73,,,,286.999471,48.375797,http://exoplanet.eu/catalog/kepler-229_b/,http://exoplanets.org/detail/Kepler-229_b,2014-05-14
Kepler-229,Kepler-229 c,4.920,0.439,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,16.06863800,,15.841,5120.00,,0.73,,,,286.999471,48.375797,http://exoplanet.eu/catalog/kepler-229_c/,http://exoplanets.org/detail/Kepler-229_c,2014-05-14
Kepler-229,Kepler-229 d,3.850,0.343,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,41.19491200,,15.841,5120.00,,0.73,,,,286.999471,48.375797,http://exoplanet.eu/catalog/kepler-229_d/,http://exoplanets.org/detail/Kepler-229_d,2014-05-14
Kepler-23,Kepler-23 b,1.900,0.170,0.80000,254.30000,,,0.95 m Kepler Telescope,Kepler,2011,Transit,3,7.10730000,800.00,13.438,5828.00,1.11,1.55,,,6.000,294.218924,49.479225,http://exoplanet.eu/catalog/kepler-23_b/,http://exoplanets.org/detail/Kepler-23_b,2014-05-14
Kepler-23,Kepler-23 c,3.200,0.285,2.70000,858.10000,,,0.95 m Kepler Telescope,Kepler,2011,Transit,3,10.74210000,800.00,13.438,5828.00,1.11,1.55,,,6.000,294.218924,49.479225,http://exoplanet.eu/catalog/kepler-23_c/,http://exoplanets.org/detail/Kepler-23_c,2014-05-14
Kepler-23,Kepler-23 d,2.200,0.196,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,3,15.27429900,800.00,13.438,5828.00,1.11,1.55,,,6.000,294.218924,49.479225,http://exoplanet.eu/catalog/kepler-23_d/,http://exoplanets.org/detail/Kepler-23_d,2014-05-14
Kepler-230,Kepler-230 b,4.260,0.380,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,32.62555500,,15.082,5588.00,,0.82,,,,285.718538,48.505859,http://exoplanet.eu/catalog/kepler-230_b/,http://exoplanets.org/detail/Kepler-230_b,2014-05-14
Kepler-230,Kepler-230 c,2.040,0.182,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,91.77324200,,15.082,5588.00,,0.82,,,,285.718538,48.505859,http://exoplanet.eu/catalog/kepler-230_c/,http://exoplanets.org/detail/Kepler-230_c,2014-05-14
Kepler-231,Kepler-231 b,1.730,0.154,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,10.06527500,,15.385,3767.00,0.58,0.49,,,,293.973353,50.531914,http://exoplanet.eu/catalog/kepler-231_b/,http://exoplanets.org/detail/Kepler-231_b,2014-05-14
Kepler-231,Kepler-231 c,1.930,0.172,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,19.27156600,,15.385,3767.00,0.58,0.49,,,,293.973353,50.531914,http://exoplanet.eu/catalog/kepler-231_c/,http://exoplanets.org/detail/Kepler-231_c,2014-05-14
Kepler-232,Kepler-232 b,3.080,0.275,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,4.43122200,,15.367,5847.00,,0.97,,,,295.816158,51.121742,http://exoplanet.eu/catalog/kepler-232_b/,http://exoplanets.org/detail/Kepler-232_b,2014-05-14
Kepler-232,Kepler-232 c,3.830,0.342,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,11.37934900,,15.367,5847.00,,0.97,,,,295.816158,51.121742,http://exoplanet.eu/catalog/kepler-232_c/,http://exoplanets.org/detail/Kepler-232_c,2014-05-14
Kepler-233,Kepler-233 b,2.430,0.217,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,8.47238200,,15.339,5360.00,,0.76,,,,296.366522,51.319523,http://exoplanet.eu/catalog/kepler-233_b/,http://exoplanets.org/detail/Kepler-233_b,2014-05-14
Kepler-233,Kepler-233 c,2.710,0.242,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,60.41895500,,15.339,5360.00,,0.76,,,,296.366522,51.319523,http://exoplanet.eu/catalog/kepler-233_c/,http://exoplanets.org/detail/Kepler-233_c,2014-05-14
Kepler-234,Kepler-234 b,3.700,0.330,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,2.71150600,,15.541,6224.00,,1.11,,,,291.653519,38.494659,http://exoplanet.eu/catalog/kepler-234_b/,http://exoplanets.org/detail/Kepler-234_b,2014-05-14
Kepler-234,Kepler-234 c,3.510,0.313,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,7.21205000,,15.541,6224.00,,1.11,,,,291.653519,38.494659,http://exoplanet.eu/catalog/kepler-234_c/,http://exoplanets.org/detail/Kepler-234_c,2014-05-14
Kepler-235,Kepler-235 b,2.230,0.199,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,3.34022200,,15.954,4255.00,0.59,0.55,,,,286.079103,39.278313,http://exoplanet.eu/catalog/kepler-235_b/,http://exoplanets.org/detail/Kepler-235_b,2014-05-14
Kepler-235,Kepler-235 c,1.280,0.114,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,7.82490400,,15.954,4255.00,0.59,0.55,,,,286.079103,39.278313,http://exoplanet.eu/catalog/kepler-235_c/,http://exoplanets.org/detail/Kepler-235_c,2014-05-14
Kepler-235,Kepler-235 d,2.050,0.183,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,20.06054800,,15.954,4255.00,0.59,0.55,,,,286.079103,39.278313,http://exoplanet.eu/catalog/kepler-235_d/,http://exoplanets.org/detail/Kepler-235_d,2014-05-14
Kepler-235,Kepler-235 e,2.220,0.198,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,46.18366900,,15.954,4255.00,0.59,0.55,,,,286.079103,39.278313,http://exoplanet.eu/catalog/kepler-235_e/,http://exoplanets.org/detail/Kepler-235_e,2014-05-14
Kepler-236,Kepler-236 b,1.570,0.140,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,8.29561100,,15.414,3750.00,0.56,0.51,,,,283.866378,39.898092,http://exoplanet.eu/catalog/kepler-236_b/,http://exoplanets.org/detail/Kepler-236_b,2014-05-14
Kepler-236,Kepler-236 c,2.000,0.178,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,23.96812700,,15.414,3750.00,0.56,0.51,,,,283.866378,39.898092,http://exoplanet.eu/catalog/kepler-236_c/,http://exoplanets.org/detail/Kepler-236_c,2014-05-14
Kepler-237,Kepler-237 b,1.410,0.126,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,4.71510600,,15.289,4861.00,0.70,0.72,,,,283.221387,40.421834,http://exoplanet.eu/catalog/kepler-237_b/,http://exoplanets.org/detail/Kepler-237_b,2014-05-14
Kepler-237,Kepler-237 c,2.080,0.186,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,8.10363600,,15.289,4861.00,0.70,0.72,,,,283.221387,40.421834,http://exoplanet.eu/catalog/kepler-237_c/,http://exoplanets.org/detail/Kepler-237_c,2014-05-14
Kepler-238,Kepler-238 b,1.730,0.154,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,5,2.09087600,,15.084,5751.00,1.06,1.43,,,,287.897113,40.637815,http://exoplanet.eu/catalog/kepler-238_b/,http://exoplanets.org/detail/Kepler-238_b,2014-05-14
Kepler-238,Kepler-238 c,2.390,0.213,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,5,6.15555700,,15.084,5751.00,1.06,1.43,,,,287.897113,40.637815,http://exoplanet.eu/catalog/kepler-238_c/,http://exoplanets.org/detail/Kepler-238_c,2014-05-14
Kepler-238,Kepler-238 d,3.070,0.274,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,5,13.23354900,,15.084,5751.00,1.06,1.43,,,,287.897113,40.637815,http://exoplanet.eu/catalog/kepler-238_d/,http://exoplanets.org/detail/Kepler-238_d,2014-05-14
Kepler-238,Kepler-238 e,5.600,0.500,0.53400,169.70000,,,0.95 m Kepler Telescope,Kepler,2013,Transit,5,23.65400000,,15.084,5751.00,1.06,1.43,,,,287.897113,40.637815,http://exoplanet.eu/catalog/kepler-238_e/,,2014-05-14
Kepler-238,Kepler-238 f,2.000,0.178,0.04200,13.50000,,,0.95 m Kepler Telescope,Kepler,2013,Transit,5,50.44700000,,15.084,5751.00,1.06,1.43,,,,287.897113,40.637815,http://exoplanet.eu/catalog/kepler-238_f/,,2014-05-14
Kepler-239,Kepler-239 b,2.330,0.208,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,11.76305100,,15.208,4914.00,0.74,0.76,,,,294.202137,40.663406,http://exoplanet.eu/catalog/kepler-239_b/,http://exoplanets.org/detail/Kepler-239_b,2014-05-14
Kepler-239,Kepler-239 c,2.510,0.224,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,56.22809800,,15.208,4914.00,0.74,0.76,,,,294.202137,40.663406,http://exoplanet.eu/catalog/kepler-239_c/,http://exoplanets.org/detail/Kepler-239_c,2014-05-14
Kepler-24,Kepler-24 b,2.400,0.214,1.60000,508.50000,,,0.95 m Kepler Telescope,Kepler,2011,Transit,4,8.14530000,1200.00,14.925,5897.00,1.03,1.29,,,7.700,290.413267,38.343754,http://exoplanet.eu/catalog/kepler-24_b/,http://exoplanets.org/detail/Kepler-24_b,2014-05-14
Kepler-24,Kepler-24 c,2.800,0.250,1.60000,508.50000,,,0.95 m Kepler Telescope,Kepler,2011,Transit,4,12.33350000,1200.00,14.925,5897.00,1.03,1.29,,,7.700,290.413267,38.343754,http://exoplanet.eu/catalog/kepler-24_c/,http://exoplanets.org/detail/Kepler-24_c,2014-05-14
Kepler-24,Kepler-24 d,1.670,0.149,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,4.24438400,1200.00,14.925,5897.00,1.03,1.29,,,7.700,290.413267,38.343754,http://exoplanet.eu/catalog/kepler-24_d/,http://exoplanets.org/detail/Kepler-24_d,2014-05-14
Kepler-24,Kepler-24 e,2.780,0.248,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,4,18.99835500,1200.00,14.925,5897.00,1.03,1.29,,,7.700,290.413267,38.343754,http://exoplanet.eu/catalog/kepler-24_e/,http://exoplanets.org/detail/Kepler-24_e,2014-05-14
Kepler-240,Kepler-240 b,1.370,0.122,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,4.14449500,,15.660,4985.00,,0.74,,,,291.158774,40.750263,http://exoplanet.eu/catalog/kepler-240_b/,http://exoplanets.org/detail/Kepler-240_b,2014-05-14
Kepler-240,Kepler-240 c,2.200,0.196,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,7.95352800,,15.660,4985.00,,0.74,,,,291.158774,40.750263,http://exoplanet.eu/catalog/kepler-240_c/,http://exoplanets.org/detail/Kepler-240_c,2014-05-14
Kepler-241,Kepler-241 b,2.330,0.208,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,12.71809200,,15.389,4699.00,,0.67,,,,292.913118,41.060921,http://exoplanet.eu/catalog/kepler-241_b/,http://exoplanets.org/detail/Kepler-241_b,2014-05-14
Kepler-241,Kepler-241 c,2.570,0.229,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,36.06597800,,15.389,4699.00,,0.67,,,,292.913118,41.060921,http://exoplanet.eu/catalog/kepler-241_c/,http://exoplanets.org/detail/Kepler-241_c,2014-05-14
Kepler-242,Kepler-242 b,2.610,0.233,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,8.20395000,,15.376,5020.00,,0.85,,,,286.565695,41.808403,http://exoplanet.eu/catalog/kepler-242_b/,http://exoplanets.org/detail/Kepler-242_b,2014-05-14
Kepler-242,Kepler-242 c,2.000,0.178,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,14.49648100,,15.376,5020.00,,0.85,,,,286.565695,41.808403,http://exoplanet.eu/catalog/kepler-242_c/,http://exoplanets.org/detail/Kepler-242_c,2014-05-14
Kepler-243,Kepler-243 b,2.450,0.219,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,5.71544200,,15.086,5228.00,0.89,0.84,,,,285.110470,42.033958,http://exoplanet.eu/catalog/kepler-243_b/,http://exoplanets.org/detail/Kepler-243_b,2014-05-14
Kepler-243,Kepler-243 c,1.990,0.178,,,,,0.95 m Kepler Telescope,Kepler,2014,Transit,2,20.02621800,,15.086,5228.00,0.89,0.84,,,,285.110470,42.033958,http://exoplanet.eu/catalog/kepler-243_c/,http://exoplanets.org/detail/Kepler-243_c,2014-05-14
