pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
HD 192263,HD 192263 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,1999,Radial Velocity,1,24.35560000,19.89,7.790,,,,HIP 99711,HD 192263,,303.499359,-0.866877,http://exoplanet.eu/catalog/hd_192263_b/,http://exoplanets.org/detail/HD_192263_b,2014-08-21
HD 192310,HD 192310 b,,,,,,355,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,2,74.72000000,8.82,5.730,5166.00,0.80,,HIP 99825,HD 192310,7.810,303.822449,-27.032976,http://exoplanet.eu/catalog/gl_785_b/,http://exoplanets.org/detail/HD_192310_b,2015-07-02
HD 192310,HD 192310 c,,,,,,185,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,2,525.80000000,8.82,5.730,5166.00,0.80,,HIP 99825,HD 192310,7.810,303.822449,-27.032976,http://exoplanet.eu/catalog/hd_192310_c/,http://exoplanets.org/detail/HD_192310_c,2015-07-02
HD 192699,HD 192699 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2007,Radial Velocity,1,345.53000000,67.39,6.440,5220.00,1.68,3.90,HIP 99894,HD 192699,1.800,304.025024,4.580795,http://exoplanet.eu/catalog/hd_192699_b/,http://exoplanets.org/detail/HD_192699_b,2014-08-21
HD 195019,HD 195019 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,1998,Radial Velocity,1,18.20132000,37.35,6.870,5788.00,1.07,,HIP 100970,HD 195019,,307.077637,18.769497,http://exoplanet.eu/catalog/hd_195019_b/,http://exoplanets.org/detail/HD_195019_b,2014-07-23
HD 196050,HD 196050 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2002,Radial Velocity,1,1378.00000000,46.93,7.500,5892.00,1.15,,HIP 101806,HD 196050,,309.465454,-60.634483,http://exoplanet.eu/catalog/hd_196050_b/,http://exoplanets.org/detail/HD_196050_b,2014-08-21
HD 196067,HD 196067 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2012,Radial Velocity,1,3638.00000000,43.57,6.030,6017.00,1.29,1.73,HIP 102125,HD 196067,3.300,310.433716,-75.350800,http://exoplanet.eu/catalog/hd_196067_b/,,2014-05-14
HD 196885,HD 196885 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2007,Radial Velocity,1,1333.00000000,32.99,6.398,6254.00,1.28,1.31,HIP 101966,HD 196885,3.120,309.966156,11.249649,http://exoplanet.eu/catalog/hd_196885_a_b/,http://exoplanets.org/detail/HD_196885_b,2014-08-21
HD 197037,HD 197037 b,,,,,,,2.7 m Harlan J. Smith Telescope,McDonald Observatory,2011,Radial Velocity,1,1035.70000000,32.83,6.813,,,,HIP 101948,HD 197037,,309.887329,42.248550,http://exoplanet.eu/catalog/hd_197037_b/,http://exoplanets.org/detail/HD_197037_b,2014-05-14
HD 19994,HD 19994 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2003,Radial Velocity,1,466.20000000,22.38,5.060,6190.00,1.37,,HIP 14954,HD 19994,,48.193485,-1.196101,http://exoplanet.eu/catalog/hd_19994_b/,http://exoplanets.org/detail/HD_19994_b,2014-05-14
