dec,hd_name,hip_name,pl_astflag,pl_cbflag,pl_dens,pl_disc,pl_discmethod,pl_eqt,pl_facility,pl_hostname,pl_imgflag,pl_masse,pl_massj,pl_name,pl_omflag,pl_orbeccen,pl_orbper,pl_pnum,pl_rade,pl_radj,pl_ratdor,pl_rvflag,pl_telescope,pl_tranflag,ra,rowupdate,st_age,st_dist,st_mass,st_optmag,st_rad,st_teff,pl_pelink,pl_edelink
43.292973,,,0,0,2.10000,2014,Transit,,Kepler,Kepler-138,0,0.64000,0.00201,Kepler-138 d,0,,23.08810000,3,1.212,0.108,,0,0.95 m Kepler Telescope,1,290.381547,2015-06-17,,,0.52,12.925,0.44,3841.00,http://exoplanet.eu/catalog/kepler-138_d/,
43.889351,,,0,0,,2014,Transit,,Kepler,Kepler-139,0,,,Kepler-139 b,0,,15.77104400,2,2.940,0.262,,0,0.95 m Kepler Telescope,1,282.391957,2014-05-14,,,1.08,12.701,1.30,5594.00,http://exoplanet.eu/catalog/kepler-139_b/,http://exoplanets.org/detail/Kepler-139_b
43.889351,,,0,0,,2014,Transit,,Kepler,Kepler-139,0,,,Kepler-139 c,0,,157.07287800,2,3.380,0.302,,0,0.95 m Kepler Telescope,1,282.391957,2014-05-14,,,1.08,12.701,1.30,5594.00,http://exoplanet.eu/catalog/kepler-139_c/,http://exoplanets.org/detail/Kepler-139_c
47.333050,,,0,0,7.10000,2011,Transit,,Kepler,Kepler-14,0,2669.66000,8.40000,Kepler-14 b,0,0.035000,6.79012300,1,12.733,1.136,8.213000,1,0.95 m Kepler Telescope,1,287.708814,2014-05-14,2.200,980.00,1.51,12.128,2.05,6395.00,http://exoplanet.eu/catalog/kepler-14_b/,http://exoplanets.org/detail/Kepler-14_b
46.768213,,,0,0,,2014,Transit,,Kepler,Kepler-140,0,,,Kepler-140 b,0,,3.25427000,2,1.610,0.144,,0,0.95 m Kepler Telescope,1,287.369468,2014-05-14,,,,12.996,1.29,6077.00,http://exoplanet.eu/catalog/kepler-140_b/,http://exoplanets.org/detail/Kepler-140_b
46.768213,,,0,0,,2014,Transit,,Kepler,Kepler-140,0,,,Kepler-140 c,0,,91.35328200,2,1.800,0.161,,0,0.95 m Kepler Telescope,1,287.369468,2014-05-14,,,,12.996,1.29,6077.00,http://exoplanet.eu/catalog/kepler-140_c/,http://exoplanets.org/detail/Kepler-140_c
47.731678,,,0,0,,2014,Transit,,Kepler,Kepler-141,0,,,Kepler-141 b,0,,3.10767500,2,0.690,0.062,,0,0.95 m Kepler Telescope,1,297.970897,2014-05-14,,,1.00,13.448,0.79,4910.00,http://exoplanet.eu/catalog/kepler-141_b/,http://exoplanets.org/detail/Kepler-141_b
47.731678,,,0,0,,2014,Transit,,Kepler,Kepler-141,0,,,Kepler-141 c,0,,7.01060600,2,1.410,0.126,,0,0.95 m Kepler Telescope,1,297.970897,2014-05-14,,,1.00,13.448,0.79,4910.00,http://exoplanet.eu/catalog/kepler-141_c/,http://exoplanets.org/detail/Kepler-141_c
48.481281,,,0,0,,2014,Transit,,Kepler,Kepler-142,0,,,Kepler-142 b,0,,2.02415200,3,1.990,0.178,,0,0.95 m Kepler Telescope,1,295.118899,2014-05-14,,,0.99,13.203,1.27,5790.00,http://exoplanet.eu/catalog/kepler-142_b/,http://exoplanets.org/detail/Kepler-142_b
48.481281,,,0,0,,2014,Transit,,Kepler,Kepler-142,0,,,Kepler-142 c,0,,4.76170200,3,2.860,0.255,,0,0.95 m Kepler Telescope,1,295.118899,2014-05-14,,,0.99,13.203,1.27,5790.00,http://exoplanet.eu/catalog/kepler-142_c/,http://exoplanets.org/detail/Kepler-142_c
48.481281,,,0,0,,2014,Transit,,Kepler,Kepler-142,0,,,Kepler-142 d,0,,41.80911800,3,2.160,0.193,,0,0.95 m Kepler Telescope,1,295.118899,2014-05-14,,,0.99,13.203,1.27,5790.00,http://exoplanet.eu/catalog/kepler-142_d/,http://exoplanets.org/detail/Kepler-142_d
49.412605,,,0,0,,2014,Transit,,Kepler,Kepler-143,0,,,Kepler-143 b,0,,16.00758300,2,2.410,0.215,,0,0.95 m Kepler Telescope,1,298.067706,2014-05-14,,,,13.770,1.36,5848.00,http://exoplanet.eu/catalog/kepler-143_b/,http://exoplanets.org/detail/Kepler-143_b
49.412605,,,0,0,,2014,Transit,,Kepler,Kepler-143,0,,,Kepler-143 c,0,,27.08251100,2,3.370,0.301,,0,0.95 m Kepler Telescope,1,298.067706,2014-05-14,,,,13.770,1.36,5848.00,http://exoplanet.eu/catalog/kepler-143_c/,http://exoplanets.org/detail/Kepler-143_c
42.775513,,,0,0,,2014,Transit,,Kepler,Kepler-144,0,,,Kepler-144 b,0,,5.88527300,2,1.330,0.119,,0,0.95 m Kepler Telescope,1,281.915678,2014-05-14,,,1.03,11.992,1.24,6075.00,http://exoplanet.eu/catalog/kepler-144_b/,http://exoplanets.org/detail/Kepler-144_b
42.775513,,,0,0,,2014,Transit,,Kepler,Kepler-144,0,,,Kepler-144 c,0,,10.10466500,2,1.350,0.120,,0,0.95 m Kepler Telescope,1,281.915678,2014-05-14,,,1.03,11.992,1.24,6075.00,http://exoplanet.eu/catalog/kepler-144_c/,http://exoplanets.org/detail/Kepler-144_c
44.529106,,,0,0,,2013,Transit,,Kepler,Kepler-145,0,37.10000,0.11700,Kepler-145 b,0,,22.95100000,2,2.650,0.236,,0,0.95 m Kepler Telescope,1,291.387762,2014-05-14,,,1.32,11.931,1.85,6022.00,http://exoplanet.eu/catalog/kepler-145_b/,
44.529106,,,0,0,,2013,Transit,,Kepler,Kepler-145,0,79.40000,0.25000,Kepler-145 c,0,,42.88200000,2,4.320,0.385,,0,0.95 m Kepler Telescope,1,291.387762,2014-05-14,,,1.32,11.931,1.85,6022.00,http://exoplanet.eu/catalog/kepler-145_c/,
38.710230,,,0,0,,2014,Transit,,Kepler,Kepler-146,0,,,Kepler-146 b,0,,31.15879900,2,3.710,0.331,,0,0.95 m Kepler Telescope,1,294.110756,2014-05-14,,,,13.838,1.21,5948.00,http://exoplanet.eu/catalog/kepler-146_b/,http://exoplanets.org/detail/Kepler-146_b
38.710230,,,0,0,,2014,Transit,,Kepler,Kepler-146,0,,,Kepler-146 c,0,,76.73217100,2,3.130,0.279,,0,0.95 m Kepler Telescope,1,294.110756,2014-05-14,,,,13.838,1.21,5948.00,http://exoplanet.eu/catalog/kepler-146_c/,http://exoplanets.org/detail/Kepler-146_c
39.087181,,,0,0,,2014,Transit,,Kepler,Kepler-147,0,,,Kepler-147 b,0,,12.61058400,2,1.530,0.136,,0,0.95 m Kepler Telescope,1,287.975766,2014-05-14,,,1.01,13.954,1.47,6012.00,http://exoplanet.eu/catalog/kepler-147_b/,http://exoplanets.org/detail/Kepler-147_b
39.087181,,,0,0,,2014,Transit,,Kepler,Kepler-147,0,,,Kepler-147 c,0,,33.41642300,2,2.430,0.217,,0,0.95 m Kepler Telescope,1,287.975766,2014-05-14,,,1.01,13.954,1.47,6012.00,http://exoplanet.eu/catalog/kepler-147_c/,http://exoplanets.org/detail/Kepler-147_c
46.858788,,,0,0,,2014,Transit,,Kepler,Kepler-148,0,,,Kepler-148 b,0,,1.72936600,2,1.800,0.161,,0,0.95 m Kepler Telescope,1,289.786216,2014-05-14,,,,15.342,0.85,5272.00,http://exoplanet.eu/catalog/kepler-148_b/,http://exoplanets.org/detail/Kepler-148_b
46.858788,,,0,0,,2014,Transit,,Kepler,Kepler-148,0,,,Kepler-148 c,0,,4.18004300,2,3.600,0.321,,0,0.95 m Kepler Telescope,1,289.786216,2014-05-14,,,,15.342,0.85,5272.00,http://exoplanet.eu/catalog/kepler-148_c/,http://exoplanets.org/detail/Kepler-148_c
38.384119,,,0,0,,2014,Transit,,Kepler,Kepler-149,0,,,Kepler-149 b,0,,29.19894300,3,4.210,0.376,,0,0.95 m Kepler Telescope,1,285.853667,2014-05-14,,,,14.001,0.95,5381.00,http://exoplanet.eu/catalog/kepler-149_b/,http://exoplanets.org/detail/Kepler-149_b
38.384119,,,0,0,,2014,Transit,,Kepler,Kepler-149,0,,,Kepler-149 c,0,,55.32832800,3,1.610,0.144,,0,0.95 m Kepler Telescope,1,285.853667,2014-05-14,,,,14.001,0.95,5381.00,http://exoplanet.eu/catalog/kepler-149_c/,http://exoplanets.org/detail/Kepler-149_c
38.384119,,,0,0,,2014,Transit,,Kepler,Kepler-149,0,,,Kepler-149 d,0,,160.01803200,3,3.960,0.353,,0,0.95 m Kepler Telescope,1,285.853667,2014-05-14,,,,14.001,0.95,5381.00,http://exoplanet.eu/catalog/kepler-149_d/,http://exoplanets.org/detail/Kepler-149_d
49.140125,,,0,0,0.93000,2011,Transit,,Kepler,Kepler-15,0,209.76000,0.66000,Kepler-15 b,0,0.060000,4.94278200,1,10.760,0.960,12.800000,1,0.95 m Kepler Telescope,1,296.200595,2014-05-14,3.700,,1.02,13.758,0.99,5515.00,http://exoplanet.eu/catalog/kepler-15_b/,http://exoplanets.org/detail/Kepler-15_b
40.520905,,,0,0,,2014,Transit,,Kepler,Kepler-150,0,,,Kepler-150 b,0,,3.42805400,4,1.250,0.112,,0,0.95 m Kepler Telescope,1,288.234084,2014-05-14,,,,14.985,0.94,5560.00,http://exoplanet.eu/catalog/kepler-150_b/,http://exoplanets.org/detail/Kepler-150_b
40.520905,,,0,0,,2014,Transit,,Kepler,Kepler-150,0,,,Kepler-150 c,0,,7.38199800,4,3.690,0.329,,0,0.95 m Kepler Telescope,1,288.234084,2014-05-14,,,,14.985,0.94,5560.00,http://exoplanet.eu/catalog/kepler-150_c/,http://exoplanets.org/detail/Kepler-150_c
40.520905,,,0,0,,2014,Transit,,Kepler,Kepler-150,0,,,Kepler-150 d,0,,12.56093000,4,2.790,0.249,,0,0.95 m Kepler Telescope,1,288.234084,2014-05-14,,,,14.985,0.94,5560.00,http://exoplanet.eu/catalog/kepler-150_d/,http://exoplanets.org/detail/Kepler-150_d
40.520905,,,0,0,,2014,Transit,,Kepler,Kepler-150,0,,,Kepler-150 e,0,,30.82655700,4,3.120,0.278,,0,0.95 m Kepler Telescope,1,288.234084,2014-05-14,,,,14.985,0.94,5560.00,http://exoplanet.eu/catalog/kepler-150_e/,http://exoplanets.org/detail/Kepler-150_e
